codigo,nome,quantidade,preco
1394,Silicone Cola Quente Bastao,173,418.36
1186,Piso Antiderrapante 45x45,52,533.38
1389,Silicone Acetico Branco 280g,55,287.22
1088,Parafuso Frances 10mm,191,90.96
1133,Furadeira Bancada 500W,121,492.72
1195,Areia Fina Ensacada 20kg,181,213.21
1258,Fechadura Digital Biometrica,134,402.18
1179,Piso Vinilico Clicado,119,449.58
1283,Telha Galvanizada Trapezio,217,705.17
1243,Registro Antivazamento,127,240.15
1363,Fio Rigido 6mm,175,114.54
1066,Cabo PP 3x2.5mm,200,621.11
1196,Areia Grossa m3,8,494.11
1111,Torneira Bica Alta Gourmet,68,493.30
1095,Parafuso Bucha 6mm,115,372.42
1144,Lampada LED Tubular 18W,21,455.97
1334,Vaso Valvula Descarga,205,323.17
1219,Chuveiro Gas Inox,5,611.54
1037,Tinta Acrilica Gelo 3.6L,125,472.22
1057,Cabo Flexivel 2.5mm,232,503.49
1385,Silicone Neutro Incolor 280g,236,554.75
1230,Registro Gaveta 3/4,216,147.97
1379,Fio Telefonico 2 pares,167,547.69
1314,Massa Adesiva PU 400g,145,658.35
1102,Torneira Jardim 1/2,50,550.26
1062,Cabo Coaxial RG6,25,824.59
1274,Telha Ceramica Portuguesa,23,8.89
1352,Broca Escalonada Metal,221,16.91
1124,Furadeira Martelete 800W,237,518.20
1298,Massa Corrida 18L,202,619.16
1171,Porta Rolete Correr,6,840.45
1241,Registro Bruto Metal 1,88,277.24
1166,Porta Camarao Aluminio,3,180.45
1290,Telha PVC Colonial,6,604.17
1359,Broca Serra Copo 50mm,3,234.42
1006,Cimento CP II 50kg,140,897.41
1272,Fechadura Banheiro Cromada,54,89.09
1250,Fechadura Interna Rolete,73,733.51
1150,Lampada LED Dicroica 5W,234,705.29
1101,Torneira Lavatorio Cromada,214,493.43
1213,Chuveiro Ducha Cromada,123,577.74
1148,Lampada Fluorescente 20W,239,602.52
1178,Piso Porcelanato Polido,83,276.13
1400,Silicone Veda Calha 300ml,236,614.02
1159,Porta Madeira 80cm,133,727.25
1058,Cabo Flexivel 4mm,81,748.19
1030,Tinta Acrilica Branca 18L,117,793.49
1167,Porta Sanfonada PVC,18,352.77
1406,Escada Aluminio 7 Degraus,183,56.05
1046,Tinta Latex Fosca 18L,130,438.84
1368,Fio Nylon Rocadeira,239,520.16
1254,Fechadura Externa Reforcada,132,162.79
1119,Furadeira Parafusadeira 12V,170,9.09
1395,Silicone PU Cinza 400g,220,618.54
1155,Lampada Refletor LED 50W,105,278.22
1085,Parafuso Autobrocante 4.2,127,242.85
1237,Registro Esfera PVC 25mm,20,374.90
1013,Cimento CP IV 50kg,178,583.12
1375,Fio Terra Verde 4mm,199,317.85
1053,Tinta Spray Preto 400ml,206,743.51
1265,Fechadura Tetra Chave,70,473.84
1348,Broca Widia 8mm,238,61.67
1232,Registro Pressao 1/2,108,353.33
1206,Chuveiro Eletrico 5500W,222,47.60
1327,Vaso Assento Termofixo,15,99.35
1104,Torneira Eletrica 5500W,11,112.57
1322,Vaso Sanitario Convencional,200,123.13
1131,Furadeira Bateria 20V,184,444.58
1309,Massa Rejunte Cinza 1kg,192,255.38
1138,Lampada LED Bulbo 9W,153,121.87
1198,Areia Brita 1 m3,44,583.45
1199,Areia Pedrisco 20kg,238,584.34
1410,Escada Fibra 3m,72,790.24
1341,Broca Aco Rapido 6mm,150,284.97
1351,Broca Concreto 10mm,65,148.86
1403,Escada Aluminio 5 Degraus,209,352.50
1228,Chuveiro Articulado 20cm,229,794.05
1021,Cimento Refratario 20kg,212,185.66
1423,Escada Plataforma 4 Degraus,31,719.96
1325,Vaso Sanitario Caixa Acoplada,111,90.76
1190,Areia Media Lavada m3,117,562.08
1278,Telha Fibrocimento 2m,104,582.06
1079,Parafuso Chipboard 4x40,16,433.10
1024,Cimento Colante AC1,38,12.80
1360,Fio Rigido 1.5mm,5,90.77
1073,Parafuso Sextavado 8mm,215,869.72
1336,Vaso Caixa Acoplada 6L,27,582.30
1096,Torneira Cozinha Bica Movel,115,86.94
1071,Cabo Rede Cat6,236,236.02
1040,Tinta Esmalte Sintetico 900ml,66,828.79
1303,Massa Acrilica 25kg,158,198.20
1117,Furadeira Impacto 650W,91,682.23
1184,Piso Laminado Carvalho,43,557.84
1293,Telha Translucida 1.5m,90,761.73
1017,Cimento Branco 25kg,102,724.48
1317,Massa Niveladora 20kg,171,507.95
1172,Piso Ceramico 60x60,83,461.04
1221,Chuveiro Higienico Metal,55,582.04
1416,Escada Extensiva 8m,186,300.18
1168,Porta Batente Angelim,165,750.33
