data_hora,valor,descricao
2026-06-16 10:22:20,2046.24,Pagamento boleto
2026-03-15 05:44:03,3059.51,Assinatura streaming
2026-08-01 07:13:27,1356.24,Estorno de compra
2026-07-22 04:57:20,-1180.48,Estorno de compra
2026-03-18 03:01:17,4373.20,Compra cartao debito
2026-05-15 11:31:08,-1447.76,PIX recebido
2026-03-09 10:37:41,2081.98,Compra online
2026-07-27 02:46:46,2318.19,Estorno de compra
2026-01-27 21:55:02,-237.43,Pagamento boleto
2026-02-10 18:26:45,1452.61,Recarga de celular
2026-05-07 20:47:28,4345.86,Estorno de compra
2026-02-21 21:54:17,86.30,Rendimento poupanca
2026-09-22 09:30:39,-1564.97,Estorno de compra
2026-03-27 04:17:34,2650.65,PIX recebido
2026-04-18 17:49:00,4678.10,PIX recebido
2026-09-05 20:17:14,122.40,PIX recebido
2026-09-03 05:48:16,4547.68,Compra online
2026-08-25 15:21:00,-1937.53,Saque caixa eletronico
2026-05-09 23:23:25,-2133.35,Estorno de compra
2026-04-06 07:42:31,-711.00,PIX recebido
2026-02-28 13:42:27,-803.95,Compra online
2026-04-11 14:13:38,2512.00,Salario
2026-01-13 17:45:21,2518.82,Transferencia TED
2026-08-23 04:35:43,3684.09,Transferencia TED
2026-09-05 06:50:55,-305.22,Compra online
2026-08-07 16:17:39,2211.19,PIX enviado
2026-08-02 00:03:06,271.18,Compra online
2026-02-11 10:17:53,3867.47,Pagamento boleto
2026-08-20 02:56:57,-722.63,Saque caixa eletronico
2026-09-06 23:32:14,4718.79,Pagamento cartao credito
2026-09-09 23:25:19,-671.94,Compra cartao debito
2026-04-18 11:29:24,2059.79,Recarga de celular
2026-09-17 12:40:06,4278.53,Saque caixa eletronico
2026-02-04 11:45:43,2155.30,PIX recebido
2026-07-12 17:39:46,1573.66,PIX recebido
2026-03-04 06:41:27,-874.91,Deposito em conta
2026-08-04 21:54:40,4469.09,Assinatura streaming
2026-07-18 23:27:29,3793.17,Salario
2026-05-23 10:48:01,-1053.33,Saque caixa eletronico
2026-09-25 16:13:27,265.12,Transferencia TED
2026-02-18 08:18:36,1006.45,Deposito em conta
2026-06-16 08:53:48,1062.82,Transferencia TED
2026-06-16 08:02:41,1230.03,Compra cartao debito
2026-07-02 23:11:00,-330.62,Salario
2026-09-01 04:41:57,4195.69,Rendimento poupanca
2026-07-05 20:39:31,4186.66,Compra cartao debito
2026-04-10 16:23:56,1599.22,Tarifa mensal
2026-06-17 15:20:42,177.26,PIX recebido
2026-09-02 10:48:16,4571.36,PIX enviado
2026-09-20 22:09:46,-1192.15,Rendimento poupanca
